Distance,Tree1.1,Tree1.2,Tree1.3,Tree1.4,Tree2.1,Tree2.2,Tree2.3,Tree2.4
0,7,10,7,10,22,24,22,24
1,7,11,8,8,26,19,27,25
2,6,3,9,3,19,21,18,25
3,,,,,12,19,12,20
5,3,4,2,0,9,13,5,6
8,4,2,3,0,4,8,3,4
12,1,0,0,0,,,,
13,,,,,2,1,3,1
18,,,,,1,0,0,0
21,1,1,0,0,,,,
